Pos,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
90,Thisara Perera,37,30,8,422,40,19.18,307,137.45,0,0,23,26
91,James Hopes,21,19,3,417,71,26.06,306,136.27,0,4,49,11
92,Johan Botha,34,28,8,409,67,20.45,359,113.92,0,1,39,5
93,Laxmi Ratan Shukla,47,34,7,405,48,15,350,115.71,0,0,33,16
94,Ashok Menaria,29,23,2,401,40,19.09,356,112.64,0,0,24,18
95,Mark Boucher,31,24,10,394,50,28.14,309,127.5,0,1,32,13
96,Cheteshwar Pujara,30,22,3,390,51,20.52,391,99.74,0,1,50,4
97,Azhar Mahmood,23,21,2,388,80,20.42,303,128.05,0,2,39,13
98,Axar Patel,45,30,8,379,42,17.22,311,121.86,0,0,23,17
99,Corey Anderson,16,15,3,379,95,31.58,278,136.33,0,3,32,21
100,Dwaraka Ravi Teja,32,25,6,375,60,19.73,317,118.29,0,1,35,9
101,Sunny Sohal,22,20,0,368,62,18.4,292,126.02,0,2,34,18
102,Gurkeerat Mann Singh,28,24,3,342,51,16.28,272,125.73,0,1,36,9
103,Dan Christian,23,22,4,341,39,18.94,292,116.78,0,0,17,13
104,Praveen Kumar,113,57,20,336,34,9.08,306,109.8,0,0,23,17
105,James Franklin,20,16,5,327,79,29.72,301,108.63,0,1,25,8
106,Ryan ten Doeschate,29,22,8,326,70,23.28,235,138.72,0,1,26,15
107,Rajat Bhatia,92,47,18,326,26,11.24,267,122.09,0,0,24,12
108,Aditya Tare,32,25,4,321,59,15.28,250,128.4,0,1,37,11
109,Debabrata Das,31,22,8,304,35,21.71,261,116.47,0,0,23,16
110,Vinay Kumar,102,45,17,304,26,10.85,271,112.17,0,0,20,9
111,Luke Pomersbach,17,16,5,302,79,27.45,246,122.76,0,1,25,13
112,Unmukt Chand,21,20,0,300,58,15,300,100,0,1,32,9
113,Darren Sammy,22,20,5,295,60,19.66,241,122.4,0,1,15,18
114,Deepak Hooda,31,24,1,295,54,12.82,216,136.57,0,1,15,16
115,Amit Mishra,112,45,17,291,31,10.39,311,93.56,0,0,25,3
116,Chris Morris,39,20,13,285,82,40.71,171,166.66,0,1,18,17
117,Yogesh Nagar,26,20,6,284,43,20.28,259,109.65,0,0,20,9
118,VVS Laxman,20,20,2,282,52,15.66,267,105.61,0,1,33,5
119,Bharat Chipli,23,21,6,280,61,18.66,251,111.55,0,1,28,7
120,Hanuma Vihari,22,21,3,280,46,15.55,313,89.45,0,0,23,1
121,Ashish Reddy,31,24,9,280,36,18.66,193,145.07,0,0,16,15
122,Michael Lumb,12,12,0,278,83,23.16,194,143.29,0,1,45,6
123,Rajagopal Sathish,34,25,8,270,27,15.88,231,116.88,0,0,22,6
124,Karn Sharma,46,27,13,267,39,19.07,230,116.08,0,0,13,12
125,Mohammad Kaif,29,22,4,259,34,14.38,250,103.6,0,0,22,6
126,Jos Buttler,14,14,3,255,41,23.18,184,138.58,0,0,23,11
127,Shreevats Goswami,23,16,1,241,52,16.06,251,96.01,0,1,26,2
128,Simon Katich,11,11,1,241,75,24.1,186,129.56,0,2,26,8
129,Krunal Pandya,12,9,3,237,86,39.5,124,191.12,0,1,22,13
130,Mohnish Mishra,18,17,1,237,41,14.81,208,113.94,0,0,24,8
131,Ravichandran Ashwin,111,37,15,231,29,10.5,240,96.25,0,0,22,2
132,Mitchell Marsh,20,14,2,225,38,18.75,196,114.79,0,0,9,14
133,K Goel,22,17,2,218,38,14.53,231,94.37,0,0,17,9
134,Abhishek Jhunjhunwala,21,16,3,217,53,16.69,210,103.33,0,1,19,5
135,Pawan Negi,29,19,7,209,36,17.41,161,129.81,0,0,16,9
136,Paul Collingwood,8,7,2,203,75,40.6,156,130.12,0,3,9,13
137,Shane Warne,55,29,9,198,34,9.9,214,92.52,0,0,14,6
138,Rishabh Pant,10,10,2,198,69,24.75,152,130.26,0,1,19,6
139,Stephen Fleming,10,10,1,196,45,21.77,164,119.51,0,0,27,3
140,Abhishek Raut,22,16,7,194,36,21.55,167,116.16,0,0,13,7
141,Ben Rohrer,8,8,2,193,64,32.16,140,137.85,0,1,21,5
142,Salman Butt,7,7,0,193,73,27.57,161,119.87,0,1,30,2
143,Faiz Fazal,12,11,1,183,45,18.3,173,105.78,0,0,22,1
144,Adam Voges,9,7,3,181,45,45.25,143,126.57,0,0,15,3
145,Ajit Agarkar,42,22,12,179,39,17.9,154,116.23,0,0,13,5
146,MF Maharoof,20,14,4,177,39,17.7,123,143.9,0,0,12,9
147,Sarfaraz Khan,18,12,6,177,45,29.5,102,173.52,0,0,19,6
148,Dishant Yagnik,25,17,7,170,34,17,137,124.08,0,0,23,2
149,CM Gautam,13,13,3,169,33,16.9,150,112.66,0,0,17,6
150,Dale Steyn,90,35,13,166,19,7.54,158,105.06,0,0,14,3
151,Akshath Reddy,12,10,0,164,42,16.4,160,102.5,0,0,15,2
152,Ryan McLaren,18,13,5,159,51,19.87,171,92.98,0,1,14,1
153,Roelof van der Merwe,21,15,4,159,35,14.45,141,112.76,0,0,11,8
154,Hashim Amla,6,6,0,157,96,26.16,119,131.93,0,1,20,4
155,Bipul Sharma,26,14,7,156,35,22.28,99,157.57,0,0,9,8
156,Hardik Pandya,20,17,5,156,61,13,125,124.8,0,1,13,8
157,Kane Williamson,8,8,1,155,50,22.14,149,104.02,0,1,15,1
158,Bhuvneshwar Kumar,76,32,14,154,24,8.55,153,100.65,0,0,15,3
159,Rishi Dhawan,26,17,10,153,25,21.85,135,113.33,0,0,13,4
160,Shaun Pollock,13,8,0,147,33,18.37,111,132.43,0,0,12,8
161,Marcus Stoinis,7,5,1,146,52,36.5,108,135.18,0,1,13,4
162,S Vidyut,9,8,0,145,54,18.12,109,133.02,0,1,21,3
163,Nitin Saini,10,10,0,140,50,14,141,99.29,0,1,16,0
164,Srikkanth Anirudha,20,13,5,136,64,17,113,120.35,0,1,9,7
165,Marlon Samuels,10,10,1,132,46,14.66,141,93.61,0,0,8,5
166,Mitchell Johnson,43,25,12,131,16,10.07,136,96.32,0,0,7,6
167,Scott Styris,12,10,3,131,36,18.71,133,98.49,0,0,10,3
168,W Jaffer,8,8,0,130,50,16.25,121,107.43,0,1,14,3
169,Kamran Akmal,6,6,1,128,53,25.6,78,164.1,0,1,13,8
170,Paras Dogra,13,12,1,127,41,11.54,138,92.02,0,0,4,5
171,Usman Khawaja,6,6,0,127,30,21.16,100,127,0,0,14,3
172,David Wiese,15,8,4,127,47,31.75,90,141.11,0,0,12,4
173,Morne Morkel,70,23,12,126,23,11.45,90,140,0,0,11,5
174,Biplap Samantray,9,8,3,125,55,25,113,110.61,0,1,13,2
175,Manpreet Juneja,7,7,0,125,49,17.85,128,97.65,0,0,11,1
176,Brett Lee,38,19,9,124,25,12.4,97,127.83,0,0,8,8
177,Andrew McDonald,11,9,4,123,33,24.6,100,123,0,0,9,4
178,Sachin Baby,15,7,1,122,33,20.33,86,141.86,0,0,9,5
179,NK Patel,9,6,2,121,57,30.25,119,101.68,0,1,14,1
180,Daniel Vettori,34,17,9,121,29,15.12,113,107.07,0,0,11,2
181,Aiden Blizzard,7,7,0,120,51,17.14,90,133.33,0,1,21,2
182,Misbah0ul0Haq,8,8,1,117,47,16.71,81,144.44,0,0,10,6
183,Ryan Harris,37,21,9,117,17,9.75,112,104.46,0,0,6,3
184,Kevon Cooper,25,14,5,116,32,12.88,68,170.58,0,0,9,8
185,Murali Kartik,56,16,9,113,21,16.14,108,104.62,0,0,7,1
186,Zaheer Khan,89,29,16,113,23,8.69,128,88.28,0,0,11,2
187,Daniel Harris,4,4,0,111,47,27.75,101,109.9,0,0,11,5
188,Luke Wright,7,6,1,106,44,21.2,60,176.66,0,0,16,3
189,Jacob Oram,18,12,4,106,41,13.25,108,98.14,0,0,6,5
190,Nitish Rana,4,3,0,104,70,34.66,75,138.66,0,1,7,8
191,Yogesh Takawale,5,5,0,104,45,20.8,91,114.28,0,0,17,1
192,Rob Quiney,7,7,0,103,51,14.71,102,100.98,0,1,12,3
193,Michael Clarke,6,6,0,100,41,16.66,95,105.26,0,0,12,0
194,Siddharth Chitnis,11,8,1,99,38,14.14,89,111.23,0,0,10,2
195,Manpreet Gony,43,17,7,99,42,9.9,71,139.43,0,0,6,8
196,Callum Ferguson,9,8,2,98,23,16.33,117,83.76,0,0,9,0
197,Mitchell Starc,27,12,5,96,29,13.71,98,97.95,0,0,10,0
198,Davy Jacobs,7,7,0,92,32,13.14,98,93.87,0,0,10,4
199,Pinal Shah,16,10,2,92,29,11.5,91,101.09,0,0,9,2
200,Ricky Ponting,10,9,0,91,28,10.11,128,71.09,0,0,5,2
201,Sachin Rana,11,8,4,91,19,22.75,81,112.34,0,0,9,1
202,Chris Lynn,5,5,1,89,45,22.25,80,111.25,0,0,6,4
203,Sam Billings,5,4,0,88,54,22,64,137.5,0,1,4,4
204,Anustup Majumdar,4,4,0,87,31,21.75,76,114.47,0,0,7,2
205,Dhawal Kulkarni,66,18,11,85,28,12.14,93,91.39,0,0,5,2
206,Umesh Yadav,80,21,14,84,24,12,77,109.09,0,0,8,3
207,Iqbal Abdulla,47,12,10,83,33,41.5,77,107.79,0,0,9,1
208,Carlos Brathwaite,8,6,0,83,34,13.83,38,218.42,0,0,6,8
209,Richard Levi,6,6,0,83,50,13.83,73,113.69,0,1,10,4
210,LA Carseldine,5,5,1,81,39,20.25,68,119.11,0,0,11,0
211,Lasith Malinga,98,23,7,81,17,5.06,96,84.37,0,0,6,4
212,Chaminda Vaas,13,11,3,81,20,10.12,73,110.95,0,0,2,3
213,Shahid Afridi,10,9,1,81,33,10.12,46,176.08,0,0,7,6
214,Dimitri Mascarenhas,13,11,2,79,27,8.77,78,101.28,0,0,5,1
215,Balachandra Akhil,15,11,5,76,27,12.66,55,138.18,0,0,5,5
216,Travis Birt,5,5,0,75,27,15,58,129.31,0,0,9,2
217,Ben Cutting,5,5,2,73,39,24.33,40,182.5,0,0,4,7
218,Michael Klinger,4,4,0,73,29,18.25,77,94.8,0,0,9,0
219,Ramnaresh Sarwan,4,4,0,73,31,18.25,75,97.33,0,0,6,1
220,Azhar Bilakhia,7,7,2,69,22,13.8,85,81.17,0,0,5,0
221,Ramesh Powar,27,10,7,67,28,22.33,64,104.68,0,0,6,1
222,Rahul Sharma,44,20,6,66,14,4.71,75,88,0,0,5,3
223,Wayne Parnell,26,13,4,63,16,7,75,84,0,0,4,1
224,Anirudh Singh,5,4,0,63,40,15.75,66,95.45,0,0,6,1
225,Ankit Sharma,20,9,3,62,30,10.33,52,119.23,0,0,5,3
226,Andrew Flintoff,3,3,1,62,24,31,53,116.98,0,0,5,2
227,Mohit Sharma,61,15,7,61,21,7.62,52,117.3,0,0,4,3
228,Martin Guptill,3,3,0,57,48,19,55,103.63,0,0,3,3
229,WA Mota,12,8,2,56,25,9.33,75,74.66,0,0,2,0
230,Mahesh Rawat,18,12,7,55,23,11,69,79.71,0,0,4,1
231,Travis Head,3,3,1,54,37,27,40,135,0,0,3,2
232,Rilee Rossouw,5,5,0,53,24,10.6,51,103.92,0,0,3,3
233,Aakash Chopra,7,6,0,53,24,8.83,71,74.64,0,0,7,0
234,Shoaib Malik,7,5,1,52,24,13,47,110.63,0,0,5,0
235,RP Singh,82,30,15,52,10,3.46,76,68.42,0,0,2,1
236,Arun Karthik,17,8,3,51,19,10.2,51,100,0,0,4,1
237,Ravi Rampaul,12,7,2,51,23,10.2,50,102,0,0,3,2
238,Raiphi Gomez,13,9,4,50,26,10,51,98.03,0,0,5,1
239,Amit Paunikar,5,5,0,49,20,9.8,58,84.48,0,0,9,0
240,Amit Yadav,8,6,1,49,16,9.8,39,125.64,0,0,5,2
241,SB Bangar,12,8,1,49,17,7,58,84.48,0,0,1,3
242,Jagadeesha Suchith,14,6,5,48,34,48,32,150,0,0,4,2
243,Yashpal Singh,8,4,0,47,20,11.75,66,71.21,0,0,5,0
244,Tim Southee,26,8,3,47,25,9.4,32,146.87,0,0,3,2
245,Sunil Narine,66,18,11,47,13,6.71,54,87.03,0,0,2,2
246,Mitchell McClenaghan,26,8,4,47,20,11.75,29,162.06,0,0,2,5
247,Harshal Patel,35,14,5,47,10,5.22,34,138.23,0,0,2,3
248,Sunny Singh,6,5,1,43,20,10.75,31,138.7,0,0,6,1
249,Ishank Jaggi,5,5,1,43,25,10.75,58,74.13,0,0,3,0
250,Jimmy Neesham,4,3,0,42,22,14,46,91.3,0,0,3,1
251,Adrian Barath,3,3,1,42,33,21,42,100,0,0,5,1
252,Siddharth Trivedi,76,15,8,42,9,6,59,71.18,0,0,3,1
253,Ishan Kishan,5,5,0,42,27,8.4,41,102.43,0,0,5,0
254,Varun Aaron,36,8,5,42,17,14,45,93.33,0,0,2,2
255,Ashish Nehra,82,20,13,41,22,5.85,62,66.12,0,0,3,1
256,LPC Silva,3,3,1,40,23,20,26,153.84,0,0,5,1
257,Ben Dunk,3,3,0,40,20,13.33,35,114.28,0,0,7,0
258,Munaf Patel,61,14,9,39,23,7.8,40,97.5,0,0,5,0
259,Asad Pathan,8,7,2,39,14,7.8,23,169.56,0,0,5,2
260,Dominic Thornely,6,4,2,39,30,19.5,53,73.58,0,0,2,2
261,Umar Gul,6,4,1,39,24,13,19,205.26,0,0,1,5
262,Nathan Coulter0Nile,18,10,4,38,9,6.33,38,100,0,0,3,2
263,Jason Holder,11,5,0,38,16,7.6,31,122.58,0,0,4,2
264,Sumit Narwal,7,4,1,37,23,12.33,27,137.03,0,0,6,0
265,Ishant Sharma,70,19,15,37,9,9.25,46,80.43,0,0,2,1
266,Kane Richardson,14,4,1,36,26,12,39,92.3,0,0,2,1
267,Lakshmipathy Balaji,73,15,7,36,15,4.5,49,73.46,0,0,2,1
268,Joginder Sharma,16,6,2,36,16,9,30,120,0,0,1,2
269,Sohail Tanvir,11,5,2,36,13,12,29,124.13,0,0,3,1
270,Bodapati Sumanth,5,4,3,35,16,35,37,94.59,0,0,3,0
271,Anil Kumble,42,17,14,35,8,11.66,47,74.46,0,0,3,0
272,Abhimanyu Mithun,16,8,3,34,11,6.8,26,130.76,0,0,4,1
273,Aditya Dole,3,2,0,34,30,17,22,154.54,0,0,3,1
274,Luke Ronchi,5,5,0,34,13,6.8,34,100,0,0,6,1
275,Shanthakumaran Sreesanth,44,14,10,34,15,8.5,55,61.81,0,0,6,0
276,Dinesh Salunkhe,6,3,1,33,26,16.5,24,137.5,0,0,5,0
277,Robin Peterson,5,5,2,32,16,10.66,30,106.66,0,0,3,1
278,S Sriram,2,2,0,31,27,15.5,36,86.11,0,0,3,0
279,Tatenda Taibu,3,3,0,31,15,10.33,26,119.23,0,0,3,0
280,Colin Munro,4,3,0,30,16,10,30,100,0,0,3,0
281,Vijay Zol,3,2,0,29,16,14.5,26,111.53,0,0,3,1
282,Syed Mohammad,11,5,3,29,13,14.5,26,111.53,0,0,4,0
283,Shadab Jakati,57,8,7,28,13,28,29,96.55,0,0,3,0
284,Sreenath Aravind,28,4,4,27,14,0,17,158.82,0,0,5,0
285,JM Kemp,5,2,0,26,22,13,24,108.33,0,0,1,1
286,Nathan McCullum,2,2,1,26,15,26,22,118.18,0,0,0,1
287,Shivnarine Chanderpaul,3,3,0,25,16,8.33,31,80.64,0,0,4,0
288,Eklavya Dwivedi,4,2,0,24,19,12,14,171.42,0,0,2,2
289,MA Khote,4,3,1,24,9,12,22,109.09,0,0,2,1
290,Shahbaz Nadeem,48,14,5,24,6,2.66,61,39.34,0,0,1,0
291,J Arunkumar,3,3,0,23,22,7.66,23,100,0,0,5,0
292,Nikhil Naik,2,2,0,23,22,11.5,31,74.19,0,0,1,0
293,Shaun Tait,21,5,2,23,11,7.66,26,88.46,0,0,1,1
294,Jeevan Mendis,3,3,0,23,12,7.66,27,85.18,0,0,0,0
295,Matthew Wade,3,3,0,22,11,7.33,33,66.66,0,0,0,0
296,Pradeep Sangwan,33,10,6,22,6,5.5,31,70.96,0,0,1,0
297,Brad Hogg,21,6,3,22,13,7.33,22,100,0,0,1,0
298,Doug Bollinger,27,4,3,21,16,21,23,91.3,0,0,1,1
299,Colin Ingram,3,3,1,21,13,10.5,26,80.76,0,0,2,0
300,Harpreet Singh,4,3,1,20,13,10,26,76.92,0,0,0,0
301,Mohammad Hafeez,8,3,1,20,13,10,22,90.9,0,0,2,1
302,Alfonso Thomas,15,4,2,20,12,10,19,105.26,0,0,1,1
303,Muttiah Muralitharan,66,9,3,20,6,3.33,30,66.66,0,0,1,0
304,RR Raje,10,5,4,20,11,20,18,111.11,0,0,1,1
305,Nic Maddinson,3,3,0,20,12,6.66,21,95.23,0,0,4,0
306,Akshdeep Nath,4,3,0,20,12,6.66,27,74.07,0,0,1,0
307,Sandeep Sharma,43,9,8,19,7,19,29,65.51,0,0,1,0
308,Damien Martyn,1,1,0,19,19,19,24,79.16,0,0,1,0
309,R Bishnoi,3,3,0,19,18,6.33,17,111.76,0,0,1,2
310,Abhinav Mukund,3,2,0,19,19,9.5,22,86.36,0,0,1,0
311,Pradeep Sahu,5,2,1,19,18,19,13,146.15,0,0,1,1
312,Rahul Shukla,7,4,3,19,14,19,23,82.6,0,0,2,0
313,Y Gnaneswara Rao,2,1,0,19,19,19,17,111.76,0,0,3,0
314,Ashok Dinda,75,16,7,19,6,2.11,41,46.34,0,0,1,0
315,Imran Tahir,20,5,1,18,5,4.5,23,78.26,0,0,3,0
316,Pravin Tambe,33,6,4,18,7,9,39,46.15,0,0,1,0
317,Darren Lehmann,2,2,0,18,17,9,18,100,0,0,3,0
318,Brad Haddin,1,1,0,18,18,18,11,163.63,0,0,2,1
319,Anureet Singh,19,6,3,18,10,6,31,58.06,0,0,0,1
320,Harmeet Singh Bansal,27,6,2,18,14,4.5,12,150,0,0,3,0
321,JJ van der Wath,3,3,1,18,14,9,16,112.5,0,0,1,1
322,Parveez Rasool,11,5,3,17,10,8.5,20,85,0,0,1,0
323,Pragyan Ojha,92,23,11,17,4,1.41,45,37.77,0,0,0,0
324,Rahul Tewatia,4,1,0,16,16,16,13,123.07,0,0,0,1
325,Chamara Kapugedera,5,3,0,16,8,5.33,23,69.56,0,0,0,0
326,C Madan,1,1,0,15,15,15,19,78.94,0,0,3,0
327,GR Napier,1,1,0,15,15,15,16,93.75,0,0,1,0
328,Sean Abbott,2,2,0,15,14,7.5,13,115.38,0,0,1,1
329,Yo Mahesh,18,5,3,15,6,7.5,27,55.55,0,0,0,0
330,Abu Nechim,10,4,3,14,5,14,6,233.33,0,0,3,0
331,Shreyas Gopal,6,3,1,14,11,7,27,51.85,0,0,1,0
332,Farhaan Behardien,3,3,1,14,9,7,13,107.69,0,0,2,0
333,Kushal Janith Perera,2,2,0,14,14,7,13,107.69,0,0,3,0
334,KC Cariappa,6,2,1,13,12,13,11,118.18,0,0,0,1
335,DT Patil,2,2,0,13,9,6.5,13,100,0,0,1,0
336,Kyle Abbott,5,3,2,13,12,13,8,162.5,0,0,0,1
337,T Thushara,6,4,2,12,8,6,18,66.66,0,0,0,0
338,Ankeet Chavan,13,3,1,12,7,6,11,109.09,0,0,2,0
339,Doug Bracewell,1,1,1,12,12,0,9,133.33,0,0,1,0
340,Karanveer Singh,9,4,3,12,5,12,17,70.58,0,0,1,0
341,Krishnakant Upadhyay,3,2,2,12,11,0,9,133.33,0,0,0,1
342,T Henderson,2,2,0,11,11,5.5,16,68.75,0,0,0,1
343,Mohammed Shami,31,10,5,11,5,2.2,27,40.74,0,0,0,0
344,Makhaya Ntini,9,2,1,11,11,11,18,61.11,0,0,2,0
345,T Kohli,4,4,1,11,7,3.66,19,57.89,0,0,0,1
346,DNT Zoysa,3,2,1,11,10,11,9,122.22,0,0,1,0
347,Sachithra Senanayake,8,4,3,10,7,10,17,58.82,0,0,0,0
348,Ali Murtaza,12,3,2,10,5,10,14,71.42,0,0,1,0
349,Kemar Roach,2,1,0,10,10,10,9,111.11,0,0,1,0
350,D du Preez,2,1,0,10,10,10,13,76.92,0,0,0,0
351,Thalaivan Sargunam,1,1,0,10,10,10,17,58.82,0,0,0,0
352,Tim Paine,2,2,0,10,8,5,26,38.46,0,0,0,0
353,Juan Theron,10,4,2,10,7,5,12,83.33,0,0,1,0
354,Siddarth Kaul,11,3,3,9,7,0,11,81.81,0,0,0,0
355,Ashley Noffke,1,1,0,9,9,9,10,90,0,0,1,0
356,Jasprit Bumrah,31,5,4,9,6,9,14,64.28,0,0,1,0
357,SM Harwood,3,2,2,9,6,0,14,64.28,0,0,0,0
358,Charl Langeveldt,7,2,0,8,8,4,9,88.88,0,0,0,1
359,Clint McKay,2,1,0,8,8,8,15,53.33,0,0,0,0
